topic,body
grain,"The U.S. Agriculture Department forecast South Africa's 1986/87 corn crop at 8.50 mln tonnes, vs 9.50 mln tonnes last month. It estimated the 1985/86 crop at 8.08 mln, vs 8.08 mln last month.     USDA forecast South African 1986/87 corn exports at 2.10 mln tonnes, vs 3.00 mln tonnes last month, and 1985/86 exports at 2.75 mln tonnes, vs 2.75 mln tonnes last month.  Reuter "
grain,"Exports of the following commodities between start of current seasons and April 2, with comparisons, as reported to USDA by exporters, in thousand tonnes, unless noted --                4/2/87    Prev Wk   4/3/86  Wheat        21,044.6  20,398.3  19,725.8  Soybeans     14,334.2  14,063.5  14,698.4  Corn         20,296.0  19,194.6  25,182.6-x  Sorghum       3,222.5   3,149.7   3,168.9-x  Soybean Oil     138.4     135.8     179.9  Soybean Meal  4,098.0   3,880.6   3,141.3  Cotton        4,333.1   4,204.7   1,510.4  X-2,059,300 tonnes of corn and 763,800 tonnes of sorghum added to reflect change in marketing year to Sept-Aug.  Reuter "
grain,"The U.S. Agriculture Department increased its estimate of 1986/87 grain purchases by the Soviet Union to 28 mln tonnes, up two mln tonnes from last month.     In its monthly report on the Soviet grain situation, the USDA said imports will be higher than earlier estimated because Soviet grain buyers have been actively purchasing in the last month.     USDA said the increased purchasing is ""somewhat surprising"" because of recent higher Soviet crop estimates.     All of the increase in estimated imports will be in corn, USDA said.     Of the 28 mln tonnes total, 15 mln tonnes will be wheat, 12 mln tonnes coarse grains, and the remaining one mln tonnes miscellaneous grains and pulses, USDA said.     USDA noted that the Soviet winter grain crop suffered through a severe winter and spring field work has been delayed.     The severe winter ""is believed to have resulted in above average winter-kill,"" USDA said.     Some grain trade analysts have said abnormal winter losses maybe one reason why the Soviet Union has been actively buying grain recently.     USDA said Moscow already has purchased over 25 mln tonnes grain for delivery in 1986/87, including 14 mln tonnes wheat and 12 mln tonnes coarse grain.  Reuter "
grain,"The U.S. Agriculture Department made the following 1986/87 projections in its world Supply/Demand report, with comparisons, in mln tonnes, except where noted --     Total World Grain                1986/87            1985/86          04/09/87  03/09/87  04/09/87  03/09/87  Produc  1,682.31  1,686.11  1,663.69  1,663.70  Total  Supply  2,025.71  2,028.45  1,919.18  1,920.13  Trade-X   212.15    211.89    204.42    203.92  Usage   1,635.01  1,630.40  1,575.78  1,577.79  End Stks  390.70    398.05    343.40    342.34  X-Based on export estimate.     All Wheat    1986/87           1985/86            04/09/87 03/09/87  04/09/87 03/09/87  Start Stks  137.05   136.48   125.54   125.87  Production  529.20   528.40   498.97   498.81  Imports      97.57    98.27    94.56    94.36  Feed Use    101.79   100.82    90.19    90.56  Total Domes 517.26   514.89   487.45   488.20  Exports     101.08   101.20    95.92    95.76  End Stocks  148.99   149.99   137.05   136.48   Note - World imports/exports may not balance due to differing marketing years, grains in transit and reporting discrepancies.     Coarse Grain                 1986/87           1985/86            04/09/87 03/09/87  04/09/87 03/09/87  Start Stcks 181.64  181.10    107.80  108.40  Production  835.21  838.82    844.60  844.84  Imports      95.66   93.77     95.70   95.18  Feed Use    514.07  510.20    510.20  510.80  Total Domes 796.33  793.64    770.76  772.14  Exports      98.97   98.47     96.02   95.76  End Stocks  220.52  226.28    181.64  181.10   Note - World imports/exports may not balance due to differing marketing years, grain in transit and reporting discrepancies.     Corn (Mln Tonnes)                 1986/87           1985/86            04/09/87 03/09/87  04/09/87 03/09/87  Start Stcks 123.08  123.11     61.09   61.75  Production  477.26  480.29    481.86  481.92  Imports      61.03   58.59     62.12   62.08  Feed Use    295.49  289.47    286.53  287.42  Ttl Domes   444.78  439.80    419.88  420.55  Exports      62.80   62.10     62.53   62.15  End Stocks  155.56  163.61    123.08  123.11   Note - World imports/exports may not balance due to differing marketing years, grain in transit and reporting discrepancies.      Soybeans                 1986/87           1985/86            04/09/87 03/09/87  04/09/87 03/09/87  Start Stcks  23.03   22.84    17.59   17.58  Production   99.98   99.43    96.74   96.53  Imports      26.21   26.27    27.08   27.08  Crushings    79.69   79.33    76.16   76.15  Ttl Domes    97.53   96.40    92.36   92.34  Exports      26.45   26.43    26.02   26.01  End Stocks   25.23   25.71    23.03   22.84   Note - Imports and exports do not balance due to differing marketing years and time lags between reported exports and imports.     Soybean Meal                 1986/87            1985/86            04/09/87 03/09/87  04/09/87 03/09/87  Start Stocks  2.55    2.47     2.79    2.74  Production   62.71   62.40    60.09   60.09  Imports      23.47   23.49    23.48   23.47  Consumption  62.69   62.49    61.06   61.10  Exports      23.51   23.39    22.76   22.74  End Stocks    2.52    2.47     2.55    2.47   Note - Imports and exports may not balance due to differing marketing years and time lags between reported exports and imports.     Soybean Oil                 1986/87          1985/86            04/09/87 03/09/87  04/09/87 03/09/87  Start Stocks  1.61   1.51       1.37   1.36  Production   14.20  14.13      13.65  13.66  Imports       3.31   3.29       3.08   3.05  Consumption  14.02  14.03      13.33  13.40  Exports       3.33   3.35       3.15   3.16  End Stocks    1.78   1.54       1.61   1.51    Note - Imports and exports do not balance due to differing marketing years and time lags between reported exports and imports.     Cotton (Mln Bales)                1986/87          1985/86           04/09/87 03/09/87  04/09/87 03/09/87  Start Stcks 45.87   48.14    42.70   43.11  Production  69.53   69.66    78.94   78.92  Imports     23.07   23.07    21.49   21.45  Mill Use    80.72   77.08    76.84   74.79  Exports     23.37   23.50    20.25   20.28  End Stocks  34.16   39.99    45.87   48.14   Note - Imports and exports may not balance due to cotton in transit and reporting discrepancies in some countries.     Rice (Milled Basis)                 1986/87          1985/86            04/09/87 03/09/87  04/09/87 03/09/87  Start Stocks 24.71   24.75     22.16   22.16  Production  317.90  318.90    320.12  320.05  Imports      10.56   10.63     11.68   11.70  Dom. Use    321.41  321.87    317.58  317.46  Exports      12.11   12.22     12.49   12.39  End Stocks   21.19   21.78     24.71   24.75  Reuter "
grain,"The U.S. Agriculture Department detailed world supply/demand data for major importers and exporters of corn, by country, as follows in mln tonnes --     USSR CORN                 1986/87            1985/86            04/09/87 03/09/87  04/09/87 03/09/87  Start Stocks  N.A.    N.A.     N.A.    N.A.  Production   12.50   12.50    14.40   14.40  Imports       8.00    6.00    10.40   10.40  Domes Use    20.50   19.50    24.40   24.40  Exports        Nil     Nil      Nil     Nil  End Stocks    N.A.    N.A.     N.A.    N.A.  N.A. - Not Available.     SOUTH AFRICA CORN, in mln tonnes --                 1986/87          1985/86          04/09/87 03/09/87  04/09/87 03/09/87  Start Stcks  1.20   1.20     1.87   1.87  Production   8.50   9.50     8.08   8.08  Imports       Nil    Nil     0.01   0.01  Domes Use    6.10   6.20     6.00   6.00  Exports      2.10   3.00     2.75   2.75  End Stocks   1.50   1.50     1.20   1.20     EC-12 CORN, in mln tonnes --                 1986/87           1985/86            04/09/87 03/09/87  04/09/87 03/09/87  Start Stcks  5.17    5.28      2.89    2.89  Production  25.00   25.03     25.70   25.78  Imports     10.69   10.61     12.82   12.82  Domes Use   28.20   29.00     29.46   29.60  Exports      7.91    7.94      6.78    6.61  End Stocks   4.75    3.98      5.17    5.28     ARGENTINA CORN, in mln tonnes --                1986/87           1985/86           04/09/87 03/09/87  04/09/87 03/09/87  Start Stcks  0.52   0.39       0.39   0.39  Production  10.00  11.00      12.10  12.10  Imports       Nil    Nil        Nil    Nil  Domes Use    4.60   4.60       4.60   4.60  Exports      5.70   6.50       7.37   7.50  End Stocks   0.22   0.29       0.52   0.39     THAILAND CORN, in mln tonnes --                1986/87           1985/86           04/09/87 03/09/87  04/09/87 03/09/87  Start Stocks 0.43   0.33      0.11   0.11  Production   4.10   4.10      5.35   5.15  Imports       Nil    Nil       Nil    Nil  Domestic Use 1.55   1.35      1.35   1.25  Exports      2.80   3.00      3.67   3.67  End Stocks   0.18   0.08      0.43   0.33     JAPAN CORN, in mln tonnes --                1986/87           1985/86           04/09/87 03/09/87  04/09/87 03/09/87  Start Stcks  1.24   1.24       1.06   1.06  Production    Nil    Nil        Nil    Nil  Imports     15.50  15.44      14.55  14.55  Domes Use   15.51  15.45      14.37  14.37  Exports       Nil    Nil        Nil    Nil  End Stocks   1.24   1.24       1.24   1.24  Reuter "
grain,"The U.S. Agriculture Department said private U.S. exporters reported sales of 200,000 tonnes of wheat to Jordan, 300,000 tonnes of soybean meal to Iraq and 100,000 tonnes of corn to Algeria.     The wheat for Jordan includes 165,000 tonnes of hard red winter and 35,000 tonnes of soft red winter and is for delivery during the 1987/88 marketing year.     The soybean meal sales to Iraq includes 180,000 tonnes for delivery during the 1986/87 season and 120,000 tonnes during the 1987/88 season, the department said.     The 100,000 tonnes of corn sales to Algeria are for delivery during the 1986/87 season, it said.     The marketing year for wheat begins June 1, corn September 1, and soybean meal October 1.  Reuter "
grain,"The U.S. Agriculture Department detailed world supply/demand data for major importers and exporters of coarse grains, by country, as follows in mln tonnes --     USSR COARSE GRAIN                1986/87           1985/86           04/09/87 03/09/87  04/09/87 03/09/87  Start Stcks  N.A.    N.A.      N.A.    N.A.  Production 103.30  103.30     99.99   99.99  Imports     12.00   10.00     13.70   13.70  Domes Use  112.30  112.30    111.99  111.99  Exports       NIL     NIL       NIL     NIL  End Stocks   N.A.    N.A.      N.A.    N.A.  N.A. - Not Available.     EC-12 COARSE GRAIN, in mln tonnes --               1986/87            1985/86          04/09/87 03/09/87  04/09/87 03/09/87  Start Stcks 14.91   14.93    10.53   10.53  Production  81.22   81.19    88.21   88.28  Imports     16.58   17.26    18.29   18.24  Dom Use     79.64   81.27    82.38   82.55  Exports     19.90   19.96    19.73   19.56  End Stocks  13.18   12.15    14.91   14.93     EASTERN EUROPE COARSE GRAIN, mln tonnes --                1986/87            1985/86           04/09/87 03/09/87  04/09/87 03/09/87  Start Stcks  4.07    3.72     5.14    5.14  Production  73.95   74.50    68.28   68.38  Imports      4.90    4.47     5.58    5.26  Dom Use     73.04   73.23    72.65   72.77  Exports      3.55    3.55     2.28    2.28  End Stocks   6.34    5.46     4.07    3.72     JAPAN COARSE GRAIN, in mln tonnes --               1986/87           1985/86          04/09/87 03/09/87  04/09/87 03/09/87  Start Stcks 2.32    2.23     1.91    1.91  Production  0.35    0.35     0.39    0.39  Imports    21.56   21.50    21.51   21.51  Dom Use    21.79   21.73    21.49   21.49  Exports      NIL     NIL      NIL     NIL  End Stocks  2.44    2.44     2.32    2.32     ARGENTINA COARSE GRAIN, in mln tonnes --                1986/87            1985/86           04/09/87 03/09/87  04/09/87 03/09/87  Start Stcks  0.78    0.53     0.83    0.83  Production  13.99   15.44    17.06   17.14  Imports      0.02     NIL      NIL     NIL  Domes Use    7.73    7.75     7.76    7.87  Exports      6.60    7.73     9.43    9.58  End Stocks   0.46    0.49     0.78    0.53     CANADA COARSE GRAIN, in mln tonnes --               1986/87            1985/86          04/09/87 03/09/87  04/09/87 03/09/87  Start Stcks 6.19    6.19     4.66    4.61  Production 27.62   27.62    24.95   24.95  Imports     0.30    0.30     0.31    0.31  Dom Use    19.80   19.80    18.99   18.96  Exports     7.41    7.21     4.74    4.72  End Stocks  6.90    7.10     6.19    6.19     THAILAND COARSE GRAINS, in mln tonnes --                1986/87            1985/86           04/09/87 03/09/87  04/09/87 03/09/87  Start Stcks  0.49    0.38     0.16   0.16  Production   4.40    4.40     5.67   5.47  Imports       NIL     NIL      NIL    NIL  Domes Use    1.57    1.37     1.40   1.30  Exports      3.10    3.30     3.94   3.95  End Stocks   0.22    0.11     0.49   0.38  Reuter "
grain,"The Commodity Credit Corporation (CCC) accepted eight bonus offers from two exporters on sales of 190,000 tonnes of hard red winter and 35,000 tonnes of soft red winter wheat to Jordan, the U.S. Agriculture Department said.     The department said the bonuses awarded averaged 38.08 dlrs per tonne and the wheat is for delivery May-November, 1987.     The bonus awards were made to Louis Dreyfus Corp (200,000  tonnes), and Continental Grain Co (25,000 tonnes) and will be paid in the form of commodities from CCC stocks.     The purchases of U.S. wheat completes the Export Enhancement Program initiative announced on December 31, 1986.  Reuter "
grain,"Argentine grain board preliminary figures show 1986/87 crop export registrations of grains and oilseeds in the week to April 8, were as follows, in tonnes, compared with the previous week and the comparable week a year earlier.     BREAD WHEAT         nil        nil       nil     MAIZE              113,500    21,800    51,300     SORGHUM             13,600      nil     26,500     SOYBEAN             30,000    36,000    72,000     SUNFLOWERSEED        nil        nil     19,100     Cumulative figures export registrations for the 1986/87 crop to April 8, 1987, with comparative figures for the 1985/86 crop up to April 9, 1986, in brackets, were in thousands of tonnes.     BREAD WHEAT            2,692,4    (4,161.0)     MAIZE                  2,305.1    (5,200.0)     SORGHUM                  220.5      (625.7)     SOYBEAN                  561.3      (524.5)     SUNFLOWERSEED             45.7      (213.2)  REUTER "
oilseed,"The U.S. Agriculture Department detailed world supply/demand data for major importers and exporters of soybeans, by country, as follows in mln tonnes --     BRAZIL SOYBEANS                 1986/87            1985/86            04/09/87 03/09/87  04/09/87 03/09/87  Start Stocks  4.19    4.01     4.71    4.71  Production   17.00   17.00    13.90   13.70  Imports       0.35    0.35     2.09    0.29  Domestic Use 14.54   14.54    13.51   13.49  Exports       2.50    2.50     1.20    1.20  End Stocks    4.50    4.32     4.19    4.01     ARGENTINA SOYBEANS, in mln tonnes --                 1986/87            1985/86            04/09/87 03/09/87  04/09/87 03/09/87  Start Stocks  1.83    1.83     1.80    1.80  Production    7.70    7.70     7.30    7.30  Imports        NIL     NIL      NIL     NIL  Domestic Use  4.97    4.97     4.74    4.74  Exports       2.65    2.65     2.54    2.54  End Stocks    1.91    1.91     1.83    1.83     EC-12 SOYBEANS, in mln tonnes --                 1986/87           1985/86            04/09/87 03/09/87  04/09/87 03/09/87  Start Stocks  0.51   0.52       0.66   0.66  Production    0.83   0.83       0.33   0.33  Imports      12.89  12.85      12.99  12.96  Domestic Use 13.72  13.68      13.34  13.30  Exports       0.11   0.11       0.13   0.13  End Stocks    0.40   0.41       0.51   0.52     JAPAN SOYBEANS, in mln tonnes --                1986/87            1985/86           04/09/87 03/09/87  04/09/87 03/09/87  Start Stcks  0.76   0.76      0.79   0.79  Production   0.25   0.25      0.23   0.23  Imports      4.84   4.84      4.80   4.80  Domes Use    5.10   5.10      5.06   5.06  Exports       NIL    NIL       NIL    NIL  End Stocks   0.75   0.75      0.76   0.76  Reuter "
grain,"The Commodity Credit Corporation (CCC) accepted a bid for an export bonus to cover a sale of 12,500 tonnes of U.S. wheat flour to Iraq, the U.S. Agriculture Department said.     The department said the bonus awarded was 105.82 dlrs per tonne and the wheat flour is for shipment July 1-10, 1987.     The bonus was awarded to The Pillsbury Company and will be paid in the form of commodities from CCC stocks.     An additional 150,000 tonnes of wheat flour is still available to Iraq under the Export Enhancement Program initiative announced January 7, 1987, the department said.  Reuter "
grain,"The U.S. Agriculture Department detailed rice supply/demand milled-basis data for Thailand, the world's major rice exporter, as follows in mln tonnes --                1986/87            1985/86           04/09/87 03/09/87  04/09/87 03/09/87  Start Stcks  1.32   1.33       1.46   1.46  Production  11.88  12.14      13.00  13.00  Imports       NIL    NIL        NIL    NIL  Domes Use    8.73   8.73       8.80   8.80  Exports      3.70   3.70       4.34   4.34  End Stocks   0.77   1.04       1.32   1.33  Reuter "
crude,"The United States' dependency on foreign oil sources may reach record levels by the mid-1990s, according to John H. Lichtblau, president of Petroleum Industry Research Associates.     Lichtblau, speaking at an alternative energy conference here, said the U.S. may depend on foreign suppliers for as much as 52 pct of its oil by 1995, surpasssing the previous high level of 47 pct in 1977.     ""The long term growth in dependency on foreign oil is inevitable,"" Lichtblau said. As much as 30 pct of U.S. oil imports in 1995 could come from OPEC nations, he said.     Lichtblau said the U.S. depended on foreign suppliers for 33 pct of its oil in 1986 and predicted that would increase to 40 pct by 1990.     ""However, the rate of this growth can be affected positively or negatively through government action or inaction,"" Lichtblau said.     He said that one of the government's negative actions is the maintenance of the windfall profits tax which acts as a disincentive to developing existing fields and reduces cash flow for oil exploration.     Lichtblau called for the adoption of an international floor price for crude oil to help stabilize world oil prices.     ""An international floor price adopted by all or most industrial countries would clearly be a much more effective measure and would be much less distortive for the U.S. than if we imposed it alone,"" Lichtblau said.     Development of alternate energy sources such as synthetic fuels as well as increased development in Alaska could lessen U.S. dependency on foreign oil, Lichtblau said.     A potential for alternative supplies could limit the willingness of OPEC nations to raise oil prices, he said.     Lichtblau also called for the federal government to offer tax abatements for oil drilling, to fill the Strategic Petroleum Reserve at a faster rate and to develop pilot plans for alternative energy.  Reuter "
grain,"There were six grain ships loading and eight ships were waiting to load at Portland, according to the Portland Merchants Exchange.     Reuter "
livestock,"The Commodity Credit Corporation (CCC) has transferred 12.0 mln dlrs in credit guarantees previously earmarked for sales of U.S. hatching eggs and 7.0 mln dlrs in guarantees for breeder livestock to increase coverage on sales of U.S. protein concentrates to Iraq, the U.S. Agriculture Department said.     The action was taken at the request of Iraq's State Trade Organization for Grains and Foodstuffs and reduces the line for hatching eggs to zero and the line for breeder livestock from 15.0 mln dlrs to 8.0 mln dlrs, the department said.     The guarantee line for sales of protein concentrates has been increased from 25.0 mln dlrs to 44.0 mln dlrs, it said.      Reuter "
grain,"The U.S. Agriculture Department reported the farmer-owned reserve national five-day average price through April 8 as follows (Dlrs/Bu-Sorghum Cwt) -          Natl   Loan           Release   Call          Avge   Rate-X  Level    Price  Price  Wheat   2.62   2.40       IV     4.65     --                             V     4.65     --                            VI     4.45     --  Corn    1.38   1.92       IV     3.15   3.15                             V     3.25     --  X - 1986 Rates.           Natl   Loan          Release   Call           Avge   Rate-X  Level   Price  Price  Oats     1.58   0.99        V    1.65    --   Barley   1.55   1.56       IV    2.55   2.55                              V    2.65    --   Sorghum  2.54   3.25-Y     IV    5.36   5.36                              V    5.54    --      Reserves I, II and III have matured. Level IV reflects grain entered after Oct 6, 1981 for feedgrain and after July 23, 1981 for wheat. Level V wheat/barley after 5/14/82, corn/sorghum after 7/1/82. Level VI covers wheat entered after January 19, 1984.  X-1986 rates. Y-dlrs per CWT (100 lbs).  Reuter "
oilseed,"Reporting members of the National Soybean Processors Association (NSPA) crushed 19,416,000 bushels of soybeans in the week ended April 8 compared with 20,115,000 bushels in the previous week and 17,160,000 in the year-ago week, the association said.     It said total crushing capacity for members was 25,873,904 bushels vs 25,873,904 last week and 25,459,238 bushels last year.     NSPA also said U.S. soybean meal exports in the week were 70,351 tonnes vs 135,452 tonnes a week ago and compared with 76,065 tonnes in the year-ago week.     NSPA said the figures include only NSPA member firms.     NSPA gave the following breakdown of the soybean crush for the week, with comparisons, in 1,000 bu:                     4/08/87   4/01/87  YEAR-AGO            Illinois   2,576    3,479        X       Ind, Ky, Ohio   3,586    3,376    6,053-Y          South East   3,871    3,791    3,058       South Central   1,631    1,934    1,563          South West   2,426    2,334    2,183                Iowa   3,450    3,550    2,815    Minn, N.D., S.D.   1,875    1,651    1,488          Total U.S.  19,416   20,115   17,160  X-Ill not reported exclusive of Ind, Ky and Ohio in year-ago period. Y-Includes Ill.                       Reuter "
crude,"Louisiana Land and Exploration Co said it, Du Pont Co's Conoco Inc subsidiary and Oranje-Nassau Energie B.V.> have been offered four exploration blocks offshore The Netherlands.     Louisiana Land said Blocks Q4a, E12c and E15b were offered to the group in which Conoco has a 67.5 pct interest, Louisiana Land 20 pct and Orange-Nassau 12.5 pct, while this group along with a consortium headed by Pennzoil Co PZL> were offered Block Q5c. The offers were the result of applications submitted to the Ministry of Economic Affairs for the Netherlands Sixth Offshore Licensing Round.     Louisiana Land said the Conoco group intends to provide a formal acceptance of the blocks with plans to start exploration this year.     The company also said the two Q blocks immediately offset other offshore blocks on which hydrocarbons have been found in commercial quantities.  Reuter "
grain,"U.S. corn sales of just over 1.0 mln tonnes in the week ended April 2 were eight pct above the prior week, but 25 pct below the four-week average, the U.S. Agriculture Department said.     In comments on its latest Export Sales Report, the department said Iraq, Japan and the USSR were the largest buyers.     Sales for the next marketing year, which begins September 1, totaled 503,200 tonnes and were mainly to Iraq and Taiwan.     Wheat sales of 119,300 tonnes for the current season and net reductions of 13,700 tonnes for the 1987/88 season were four-fifths below the combined total for the prior week and the four-week average, it said.     Sri Lanka was the most active wheat destination with purchases of 52,500 tonnes for the current year, it said.     Other significant purchasers for the current year were Mexico and Honduras, it said.     Soybean sales of 240,500 tonnes were one-fifth below the prior week and nearly one-third below the four-week average.     Japan, Mexico, South Korea, Italy and Israel were the major purchasers, the department said.     Net sales of 117,700 tonnes of soybean cake and meal fell 31 pct from the previous week and 38 pct below the four-week average. Major increases for West Germany, Venezuela, the Netherlands and Saudi Arabia were partially offset by reductions for unknown destinations, USDA said.     Activity in soybean oil resulted in decreases of 2,400 tonnes, with sales to unknown destinations down by 2,700 tonnes, while sales to Canada increased 200 tonnes, the Department said.     Combined sales of 71,300 running bales of cotton -- 60,200 bales for the current season and 11,100 bales for 1987/88 season -- were four-fifths higher than the prior week's level but nine pct below the four-week average.     Mexico was the dominant buyer for the current year followed by Zaire, Italy, and Spain, the department said. The primary buyers for the 1987/88 season were South Korea, Spain, Japan and Taiwan, the department said.     Sorghum sales of 143,300 tonnes were 25 pct less than the prior week, with Japan and Venezuela the main buyers.   Reuter "
grain,"There were 287,700 tonnes of U.S. corn shipped to the Soviet Union in the week ended April 2, according to the U.S. Agriculture Department's latest Export Sales report.     That compares with 106,200 tonnes shipped in the prior week.     There were no wheat or soybean shipments during the week.     The USSR has purchased 2,825,600 tonnes of U.S. corn, as of April 2, for delivery in the fourth year of the U.S.-USSR grain agreement.     Total shipments in the third year of the U.S.-USSR grains agreement, which ended September 30, amounted to 152,600 tonnes of wheat, 6,808,100 tonnes of corn and 1,518,700 tonnes of soybeans.  Reuter "
crude,"Crude oil netback values in complex refineries rose sharply in Europe and firmed in the U.S. last Friday from the previous week but fell sharply in Singapore, according to calculations by Reuters Pipeline.     The firmer tone to refining margins in Europe and the U.S. relected higher prices for petroleum products, particularly gasoline, and support from crude oil prices.     Netback values for crude oil refined in Northern Europe rose substantially following strong gains in gasoline prices there. Brent is valued at 19.45 dlrs, up 56 cts a barrel or three pct from the previous week.     In the U.S. Gulf, sweet crudes rose in value by 14 cts to 19.33 dlrs for West Texas Intermediate, up about 0.7 pct.     Sour grades in the U.S. Gulf showed an increase of 33 cts a barrel for Alaska North Slope, up 1.7 pct.     But netbacks for crude oil refined in Singapore fell sharply, down 15 cts to as much as 68 cts a barrel as ample distillate supplies weighed on petroleum product prices.     Attaka in Singapore is valued at 18.55 dlrs, a decline of 68 cts a barrel or 3.5 pct from the previous week.     For refineries in the Mediterranean, netback values were mostly lower, with declines of seven to 14 cts. The value of Kuwait crude fell 14 cts to 18.37 dlrs, while Iranian Light fell 11 cts to 19.14 dlrs.     On the U.S. West Coast, netback values for ANS CIF L.A. also jumped sharply, up 40 cts a barrel or 2.2 pct to 18.82 dlrs on higher gasoline prices.  Reuter "
grain,"Egypt is expected to tender April 22 for 500,000 tonnes of corn for May through September shipments, private export sources said.  Reuter "
trade,"chile's trade surplus narrowed to 102.2 mln dlrs in february, from 105.4 mln dlrs in the same month last year, but it was above the 18.2-mln-dlr surplus recorded in january 1987, the central bank said.     Exports in february totalled 379.4 mln dlrs, 17.2 pct above the january figure. Imports fell 9.2 pct from the previous month to 277.2 mln dlrs. The figures for the same month last year were 314 mln and 208.6 mln dlrs, respectively.     The accumulated trade surplus over the first two months of 1987 stands at 120.4 mln dlrs against 132.8 mln dlrs the previous year.  Reuter "
interest,"Economists said that they doubt the Federal Reserve is firming policy to aid the dollar, despite higher discount window borrowings in the latest two-week statement period and very heavy borrowings Wednesday.     Data out today show net borrowings from the Fed averaged 393 mln dlrs in the two weeks to Wednesday, up from 265 mln dlrs in the prior statement period. Wednesday borrowings were 1.4 billion dlrs as Federal funds averaged a high 6.45 pct.     ""One could make a case that the Fed is firming, but it probably isn't,"" said William Sullivan of Dean Witter Reynolds.     Sullivan said some may assume the Fed has firmed policy modestly to support the dollar because net borrowings in the two-weeks to Wednesday were nearly 400 mln dlrs after averaging around 250 mln dlrs over the previous two months.     However, the Dean Witter economist noted that the latest two-week period included a quarter end when seasonal demand often pushes up borrrowings.     ""Some might argue that the Fed was firming policy, but it looks like it tried to play catchup with reserve provisions late in the statement period and didn't quite make it,"" said Ward McCarthy of Merrill Lynch Capital Markets.     A Fed spokesman told a press press conference today that the Fed had no large net one-day miss of two billion dlrs or more in its reserve projections in the week ended Wednesday.     Still, McCarthy said it may have had a cumulative miss in its estimates over the week that caused it to add fewer reserves earlier in the week than were actually needed.     The Fed took no market reserve management action last Thursday and Friday, the first two days of the week. It added temporary reserves indirectly on Monday via two billion dlrs of customer repurchase agreements and then supplied reserves directly via System repurchases on Tuesday and Wednesday.     Based on Fed data out today, economists calculated that the two-day System repurchase agreements the Fed arrranged on Tuesday totaled around 5.9 billion dlrs. They put Wednesday's overnight System repos at approximately 3.4 billion dlrs.     ""It is quite clear that the Fed is not firming policy at this time,"" said Larry Leuzzi of S.G. Warburg and Co Inc.     Citing the view shared by the other two economists, Leuzzi said the Fed cannot really afford to seriously lift interest rates to help the dollar because that would harm already weak economies in the United States and abroad and add to the financial stress of developing countries and their lenders.     ""Those who believe the Fed tightened policy in the latest statement period have to explain why it acted before the dollar tumbled,"" said McCarthy of Merrill Lynch.     He said the dollar staged a precipitous drop as a new statement period began today on disappointment yesterday's Washington meetings of international monetary officials failed to produce anything that would offer substantive dollar aid.     In fact, currency dealers said there was nothing in Wednesday's G-7 communique to alter the prevailing view that the yen needs to rise further to redress the huge trade imbalance between the United States and Japan.     The economists generally agreed that the Fed is aiming for steady policy now that should correspond to a weekly average Fed funds rate between six and 6-1/8 pct. This is about where the rate has been since early November.     ""I'm not so sure that the Fed is engineering a tighter policy to help the dollar, as some suspect,"" said Sullivan of Dean Witter.     If it is, however, he said that Fed probably has just nudged up its funds rate goal to around 6.25 to 6.35 pct from six to 6.10 pct previously.  Reuter "
grain,"The Argentine grain market was quiet in the week to Wednesday, with prices rising slightly on increased interest in wheat, millet and birdseed.     Wheat for domestic consumption rose six Australs per tonne to 118.     For export it rose eight to 108 per tonne from Bahia Blanca, increased 0.50 to 104 at Necochea and was unchanged at Rosario at 108.30.     Maize increased one to 90 per tonne at Buenos Aires, was unchanged at 82 in Bahia Blanca, increased 0.50 to 85 at Necochea and fell one to 88 at Parana River ports.     Sorghum from Bahia Blanca increased 0.50 Australs to 76.50 per tonne and dropped one to 75 at Rosario.     It was quoted at 75 at Villa Constitucion, San Nicolas and Puerto Alvear.     Oats were unchanged at 168 per tonne at Buenos Aires.     Millet from Buenos Aires and Rosario rose five per tonne to 140 and birdseed rose 15 to 205 at Buenos Aires.  REUTER "
interest,"Average interest rates on yen certificates of deposit (CD) fell to 4.13 pct in the week ended April 8 from 4.33 pct the previous week, the Bank of Japan said.     New rates (previous in brackets) -     Average CD rates all banks 4.13 pct (4.33)     Money Market Certificate (MMC) ceiling rates for week starting from April 13 -       3.38 pct (3.58)     Average CD rates of city, trust and long-term banks -     Less than 60 days          4.15 pct (4.41)     60-90 days                 4.14 pct (4.29)     Average CD rates of city, trust and long-term banks -     90-120 days                4.12 pct (4.25)     120-150 days               4.12 pct (4.23)     150-180 days               unquoted (4.03)     180-270 days               4.05 pct (4.05)     Over 270 days              4.05 pct (unqtd)     Average yen bankers acceptance rates of city, trust and long-term banks -     30 to less than 60 days    3.98 pct (4.20)     60-90 days                 4.03 pct (3.97)     90-120 days                unquoted (unqtd)  REUTER "
